grid_cell_id,waste_concrete_network_input_t_per_year
NDGRD_252,0.0
NDGRD_253,171.307938
NDGRD_254,170.67023999999998
NDGRD_255,6.7148118
NDGRD_256,263.42388
NDGRD_257,197.15322
NDGRD_258,227.93076000000002
NDGRD_259,0.0
NDGRD_260,0.0
NDGRD_261,0.0
NDGRD_262,0.0
NDGRD_263,0.0
NDGRD_264,0.0
NDGRD_265,0.0
NDGRD_266,0.0
NDGRD_267,0.0
NDGRD_268,0.0
NDGRD_269,0.0
NDGRD_270,0.0
NDGRD_271,0.0
NDGRD_272,0.0
NDGRD_273,2.1454458
NDGRD_274,167.500428
NDGRD_275,0.0
NDGRD_276,0.0
NDGRD_277,0.0
NDGRD_278,0.0
NDGRD_279,0.0
NDGRD_280,9.231588
NDGRD_281,578.2791
NDGRD_282,0.0
NDGRD_283,0.0
NDGRD_284,0.0
NDGRD_285,0.0
NDGRD_286,0.0
NDGRD_287,10.8097392
NDGRD_288,0.0
NDGRD_289,0.0
NDGRD_290,0.0
NDGRD_291,0.0
NDGRD_292,0.0
NDGRD_293,3.5801305199999995
NDGRD_294,0.0
NDGRD_295,0.0
NDGRD_296,0.0
NDGRD_297,0.0
NDGRD_298,18.7935312
NDGRD_299,0.0
NDGRD_300,0.0
NDGRD_301,0.0
NDGRD_302,0.0
NDGRD_303,0.0
NDGRD_304,181.364004
NDGRD_305,27.559064999999997
NDGRD_306,883.15698
NDGRD_307,8.1890238
NDGRD_308,0.0
NDGRD_309,0.0
NDGRD_310,11.103178799999998
NDGRD_311,12.2371062
NDGRD_312,845.82906
NDGRD_313,1705.30146
NDGRD_314,11.147936999999999
NDGRD_315,0.0
NDGRD_316,0.0
NDGRD_317,5.6269428
NDGRD_318,0.0
NDGRD_319,0.0
NDGRD_320,25.2338088
NDGRD_321,0.0
NDGRD_322,0.0
NDGRD_323,0.0
NDGRD_324,0.0
NDGRD_325,0.0
NDGRD_326,19.965490799999998
NDGRD_327,461.66256000000004
NDGRD_328,0.0
NDGRD_329,0.0
NDGRD_330,0.0
NDGRD_331,9.4731576
NDGRD_332,18.3569604
NDGRD_333,323.77698
NDGRD_334,1305.93012
NDGRD_335,98.182458
NDGRD_336,0.0
NDGRD_337,0.0
NDGRD_338,348.87330000000003
NDGRD_339,0.0
NDGRD_340,0.0
NDGRD_341,0.0
NDGRD_342,3.00080358
NDGRD_343,0.0
NDGRD_344,5.762902799999999
NDGRD_345,11.833294200000001
NDGRD_346,0.0
NDGRD_347,30.606603
NDGRD_348,53.277924
NDGRD_349,0.0
NDGRD_350,196.48955999999998
NDGRD_351,88.856178
NDGRD_352,0.0
NDGRD_353,34.772124
NDGRD_354,24.3451758
NDGRD_355,0.0
NDGRD_356,0.0
NDGRD_357,17.551970400000002
NDGRD_358,8.2533378
NDGRD_359,250.60386
NDGRD_360,534.85086
NDGRD_361,29.165304
NDGRD_362,109.20238199999999
NDGRD_363,0.0
NDGRD_364,0.0
NDGRD_365,12.613491
NDGRD_366,0.0
NDGRD_367,0.0
NDGRD_368,493.10988
NDGRD_369,5.450236800000001
NDGRD_370,0.0
NDGRD_371,0.0
NDGRD_372,186.726546
NDGRD_373,0.0
NDGRD_374,0.0
NDGRD_375,0.0
NDGRD_376,0.0
NDGRD_377,0.0
NDGRD_378,0.0
NDGRD_379,0.0
NDGRD_380,8.0844852
NDGRD_381,1.77032706
NDGRD_382,532.6358399999999
NDGRD_383,11.913693
NDGRD_384,17.38278
NDGRD_385,528.2456399999999
NDGRD_386,4.1273622
NDGRD_387,1139.90274
NDGRD_388,2281.94412
NDGRD_389,0.0
NDGRD_390,0.0
NDGRD_391,0.0
NDGRD_392,27.166072800000002
NDGRD_393,18.6454302
NDGRD_394,0.0
NDGRD_395,0.0
NDGRD_396,0.0
NDGRD_397,5.491403999999999
NDGRD_398,0.0
NDGRD_399,0.0
NDGRD_400,0.0
NDGRD_401,0.0
NDGRD_402,0.0
NDGRD_403,0.0
NDGRD_404,1316.6976
NDGRD_405,19.522956
NDGRD_406,3.6227703
NDGRD_407,548.44962
NDGRD_408,0.0
NDGRD_409,8.050914
NDGRD_410,9.665722200000001
NDGRD_411,0.0
NDGRD_412,5.8295964
NDGRD_413,39.2007864
NDGRD_414,0.0
NDGRD_415,0.0
NDGRD_416,0.0
NDGRD_417,0.0
NDGRD_418,6.600394199999999
NDGRD_419,1.6960699199999998
NDGRD_420,0.0
NDGRD_421,0.0
NDGRD_422,0.0
NDGRD_423,0.0
NDGRD_424,0.0
NDGRD_425,0.0
NDGRD_426,0.0
NDGRD_427,0.0
NDGRD_428,0.0
NDGRD_429,0.0
NDGRD_430,0.0
NDGRD_431,0.0
NDGRD_432,0.0
NDGRD_433,0.0
NDGRD_434,0.0
NDGRD_435,0.0
NDGRD_436,26.312886
NDGRD_437,14.583892799999997
NDGRD_438,62.673258
NDGRD_439,286.094298
NDGRD_440,0.0
NDGRD_441,0.0
NDGRD_442,0.0
NDGRD_443,3.0247700399999995
NDGRD_444,4.196985
NDGRD_445,0.0
NDGRD_446,0.0
NDGRD_447,0.0
NDGRD_448,0.0
NDGRD_449,0.0
NDGRD_450,0.0
NDGRD_451,0.0
NDGRD_452,0.0
NDGRD_453,0.0
NDGRD_454,0.0
NDGRD_455,0.0
NDGRD_456,0.0
NDGRD_457,0.0
NDGRD_458,0.0
NDGRD_459,0.0
NDGRD_460,0.0
NDGRD_461,0.0
NDGRD_462,0.0
NDGRD_463,0.0
NDGRD_464,12.826101599999998
NDGRD_465,0.0
NDGRD_466,0.0
NDGRD_467,0.0
NDGRD_468,10.238793
NDGRD_469,0.0
NDGRD_470,0.0
NDGRD_471,5211.201599999999
NDGRD_472,0.0
NDGRD_473,0.0
NDGRD_474,0.0
NDGRD_475,0.0
NDGRD_476,0.0
NDGRD_477,0.0
NDGRD_478,0.0
NDGRD_479,0.0
NDGRD_480,0.0
NDGRD_481,0.0
NDGRD_482,0.0
NDGRD_483,0.0
NDGRD_484,0.0
NDGRD_485,0.0
NDGRD_486,0.0
NDGRD_487,0.0
NDGRD_488,27.2839488
NDGRD_489,2.5203975599999997
NDGRD_490,463.332276
NDGRD_491,1255.8415799999998
NDGRD_492,0.0
NDGRD_493,17.73327
NDGRD_494,0.0
NDGRD_495,0.0
NDGRD_496,5.4218573999999995
NDGRD_497,46.748645999999994
NDGRD_498,96744.324
NDGRD_499,0.0
NDGRD_500,0.0
NDGRD_501,0.0
NDGRD_502,155.68748999999997
NDGRD_503,9378.2136
NDGRD_504,80.01326399999999
NDGRD_505,171.56658
NDGRD_506,0.0
NDGRD_507,0.0
NDGRD_508,0.0
NDGRD_509,0.0
NDGRD_510,0.0
NDGRD_511,0.0
NDGRD_512,0.0
NDGRD_513,0.0
NDGRD_514,0.0
NDGRD_515,0.72077658
NDGRD_516,98.52334199999999
NDGRD_517,487.28864999999996
NDGRD_518,30.444108
NDGRD_519,0.0
NDGRD_520,65.484876
NDGRD_521,0.0
NDGRD_522,0.0
NDGRD_523,117.51869400000001
NDGRD_524,5.66298156
NDGRD_525,0.0
NDGRD_526,0.0
NDGRD_527,0.0
NDGRD_528,130.259898
NDGRD_529,815.16816
NDGRD_530,0.0
NDGRD_531,0.0
NDGRD_532,0.0
NDGRD_533,0.0
NDGRD_534,5322.7566
NDGRD_535,1086.20604
NDGRD_536,171.587256
NDGRD_537,680.98506
NDGRD_538,115.97970600000001
NDGRD_539,0.0
NDGRD_540,0.0
NDGRD_541,118.219038
NDGRD_542,61.987806
NDGRD_543,0.0
NDGRD_544,0.0
NDGRD_545,295.72801799999996
NDGRD_546,0.0
NDGRD_547,0.0
NDGRD_548,141.89734800000002
NDGRD_549,57.41864399999999
NDGRD_550,17.31747
NDGRD_551,292.2477
NDGRD_552,49.540729799999994
NDGRD_553,0.0
NDGRD_554,0.0
NDGRD_555,34.142094
NDGRD_556,15.635416199999998
NDGRD_557,0.0
NDGRD_558,2482.0600799999997
NDGRD_559,236.01122999999998
NDGRD_560,2031.4129799999998
NDGRD_561,0.0
NDGRD_562,0.0
NDGRD_563,170.864898
NDGRD_564,4850.5425
NDGRD_565,24.4281024
NDGRD_566,7093.1292
NDGRD_567,26.733832200000002
NDGRD_568,38.688545999999995
NDGRD_569,0.0
NDGRD_570,1905.51354
NDGRD_571,922.16238
NDGRD_572,0.0
NDGRD_573,0.0
NDGRD_574,120.71146200000001
NDGRD_575,0.0
NDGRD_576,0.0
NDGRD_577,17.2828452
NDGRD_578,0.0
NDGRD_579,0.0
NDGRD_580,23.3266662
NDGRD_581,0.91711824
NDGRD_582,0.0
NDGRD_583,0.0
NDGRD_584,0.0
NDGRD_585,242.70237600000002
NDGRD_586,5.3400486
NDGRD_587,4.9716468
NDGRD_588,0.9494582399999999
NDGRD_589,48.273222
NDGRD_590,566.2262699999999
NDGRD_591,84.26655600000001
