grid_cell_id,waste_brick_network_input_t_per_year
NDGRD_292,0
NDGRD_293,0
NDGRD_294,0
NDGRD_295,0
NDGRD_296,0
NDGRD_297,0
NDGRD_298,11.54406185
NDGRD_299,0
NDGRD_300,0
NDGRD_301,0
NDGRD_302,0
NDGRD_303,0
NDGRD_304,32.60487476
NDGRD_305,40.170464
NDGRD_306,227.1405423
NDGRD_307,1.405055885
NDGRD_308,0
NDGRD_309,0
NDGRD_310,1.551244404
NDGRD_311,6.540910463
NDGRD_312,406.051721
NDGRD_313,347.3737466
NDGRD_314,3.544560193
NDGRD_315,0
NDGRD_316,0
NDGRD_317,1.532120514
NDGRD_318,0
NDGRD_319,0
NDGRD_320,4.992039536
NDGRD_321,0
NDGRD_322,0
NDGRD_323,0
NDGRD_324,0
NDGRD_325,0
NDGRD_326,3.76912696
NDGRD_327,145.9656335
NDGRD_328,19.97703385
NDGRD_329,0
NDGRD_330,0
NDGRD_331,3.726406984
NDGRD_332,3.212842475
NDGRD_333,37.78338925
NDGRD_334,252.5985727
NDGRD_335,9.540299257
NDGRD_336,3.398596576
NDGRD_337,0
NDGRD_338,6.384121456
NDGRD_339,7.363466951
NDGRD_340,0
NDGRD_341,0
NDGRD_342,2.312719878
NDGRD_343,0
NDGRD_344,0
NDGRD_345,6.387128261
NDGRD_346,0
NDGRD_347,1.050468606
NDGRD_348,5.677833223
NDGRD_349,0
NDGRD_350,51.7998865
NDGRD_351,47.44196915
NDGRD_352,0
NDGRD_353,4.860874536
NDGRD_354,4.709615186
NDGRD_355,0
NDGRD_356,1.356941971
NDGRD_357,5.929199808
NDGRD_358,2.115108794
NDGRD_359,68.41686138
NDGRD_360,518.5561424
NDGRD_361,12.03348642
NDGRD_362,52.18222703
NDGRD_363,0
NDGRD_364,0
NDGRD_365,0
NDGRD_366,0
NDGRD_367,0
NDGRD_368,178.5933083
NDGRD_369,1.349022134
NDGRD_370,0
NDGRD_371,0
NDGRD_372,83.23021157
NDGRD_373,0
NDGRD_374,0
NDGRD_375,0
NDGRD_376,0
NDGRD_377,0
NDGRD_378,0
NDGRD_379,0
NDGRD_380,4.46397848
NDGRD_381,0
NDGRD_382,201.3765533
NDGRD_383,11.32280717
NDGRD_384,16.75298982
NDGRD_385,78.0002538
NDGRD_386,0.976445369
NDGRD_387,390.4901041
NDGRD_388,701.8850252
NDGRD_389,0
