grid_cell_id,waste_brick_network_input_t_per_year
NDGRD_293,1.070761434
NDGRD_294,0
NDGRD_295,0
NDGRD_296,0
NDGRD_297,0
NDGRD_298,6.567719967
NDGRD_299,0
NDGRD_300,0
NDGRD_301,0
NDGRD_302,0
NDGRD_303,0
NDGRD_304,9.819256041
NDGRD_305,11.89053593
NDGRD_306,151.183801
NDGRD_307,0.196900912
NDGRD_308,0
NDGRD_309,0
NDGRD_310,2.894169716
NDGRD_311,11.3224839
NDGRD_312,305.8362138
NDGRD_313,432.7175804
NDGRD_314,24.21850829
NDGRD_315,0
NDGRD_316,0
NDGRD_317,0
NDGRD_318,0
NDGRD_319,0
NDGRD_320,5.527186613
NDGRD_321,0
NDGRD_322,0
NDGRD_323,0
NDGRD_324,0
NDGRD_325,0
NDGRD_326,0.982046966
NDGRD_327,132.0766455
NDGRD_328,33.68318538
NDGRD_329,0
NDGRD_330,0
NDGRD_331,0.610819833
NDGRD_332,8.158472651
NDGRD_333,53.45639532
NDGRD_334,260.392374
NDGRD_335,21.08402963
NDGRD_336,2.189522451
NDGRD_337,0
NDGRD_338,6.783577857
NDGRD_339,4.19183811
NDGRD_340,0
NDGRD_341,0
NDGRD_342,0.997271453
NDGRD_343,0.13267804
NDGRD_344,0
NDGRD_345,2.772365604
NDGRD_346,0
NDGRD_347,0
NDGRD_348,5.620812563
NDGRD_349,0
NDGRD_350,90.32663274
NDGRD_351,27.32087785
NDGRD_352,0
NDGRD_353,13.88174535
NDGRD_354,14.92573376
NDGRD_355,0
NDGRD_356,0.583059698
NDGRD_357,1.423712927
NDGRD_358,1.384769955
NDGRD_359,49.45156209
NDGRD_360,103.6535067
NDGRD_361,28.26622473
NDGRD_362,46.21595988
NDGRD_363,1.270856736
NDGRD_364,0
NDGRD_365,0
NDGRD_366,0
NDGRD_367,0
NDGRD_368,93.96212543
NDGRD_369,2.147392385
NDGRD_370,0
NDGRD_371,0
NDGRD_372,44.86103907
NDGRD_373,0
NDGRD_374,0
NDGRD_375,0
NDGRD_376,0
NDGRD_377,0
NDGRD_378,0
NDGRD_379,0
NDGRD_380,0
NDGRD_381,0.741002407
NDGRD_382,182.6172141
NDGRD_383,5.392542723
NDGRD_384,8.983883268
NDGRD_385,131.4744887
NDGRD_386,0
NDGRD_387,270.5897624
NDGRD_388,559.2507293
NDGRD_389,0
NDGRD_390,0
NDGRD_391,0
NDGRD_392,4.791162062
NDGRD_393,1.243330599
NDGRD_394,0
NDGRD_395,0
NDGRD_396,0
NDGRD_397,5.848174335
NDGRD_398,0
NDGRD_399,0
NDGRD_400,0
NDGRD_401,0
NDGRD_402,0
NDGRD_403,0
NDGRD_404,417.5267364
NDGRD_405,5.215923423
NDGRD_406,0.70803109
NDGRD_407,200.0186024
NDGRD_408,0
NDGRD_409,0
NDGRD_410,0
NDGRD_411,0
NDGRD_412,0
NDGRD_413,20.37782254
NDGRD_414,0.741939015
NDGRD_415,0
NDGRD_416,0
NDGRD_417,0
NDGRD_418,1.720178007
NDGRD_419,0
NDGRD_420,0
NDGRD_421,0
NDGRD_422,0
NDGRD_423,0
NDGRD_424,0
NDGRD_425,0
NDGRD_426,0
NDGRD_427,0
NDGRD_428,0
NDGRD_429,0
NDGRD_430,0
NDGRD_431,0
NDGRD_432,0
NDGRD_433,0
NDGRD_434,0
NDGRD_435,0
NDGRD_436,8.146084061
NDGRD_437,3.843753636
NDGRD_438,22.43065378
NDGRD_439,57.1499028
NDGRD_440,0
NDGRD_441,0
NDGRD_442,0
NDGRD_443,1.107333684
NDGRD_444,3.028708729
NDGRD_445,0
NDGRD_446,0
NDGRD_447,0
NDGRD_448,0
